,n,scheduler,st_1,st_2,st_3,wt_1,wt_2,wt_3,tat_1,tat_2,tat_3
0,1,rr,1.1,5.4,7.5,43.6,860.7,780.7,56.7,1527.1,1558.1
1,1,fcfs,0.8,82.7,1767.6,0.8,82.7,1767.6,31.5,1766.5,3159.1
2,1001,rr,1.0,5.9,8.2,1381.2,1256.0,1315.8,2902.0,1604.8,1736.8
3,1001,fcfs,1.0,378.4,1513.1,1.0,378.4,1513.1,375.1,1512.1,3003.7
4,2001,rr,1.1,6.3,8.5,1769.6,1324.8,1479.0,5174.6,1865.9,1869.6
5,2001,fcfs,0.8,456.5,1389.8,0.8,456.5,1389.8,453.5,1389.0,2314.3
6,3001,rr,1.2,6.0,8.2,816.0,732.0,734.5,4133.5,948.6,949.1
7,3001,fcfs,1.0,660.5,1827.7,1.0,660.5,1827.7,657.8,1826.2,3729.5
8,4001,rr,1.3,5.5,7.7,1526.2,850.0,1202.1,8195.7,1178.0,1653.7
9,4001,fcfs,1.0,798.8,1754.1,1.0,798.8,1754.1,796.2,1753.2,2725.7
10,5001,rr,1.2,6.0,8.2,3266.9,1223.7,1384.7,11162.5,1627.6,1880.8
11,5001,fcfs,0.9,946.0,1870.3,0.9,946.0,1870.3,943.4,1869.4,2896.2
12,6001,rr,0.8,4.2,6.5,1755.4,1055.2,1014.4,8507.5,1594.3,1328.9
13,6001,fcfs,0.9,1311.9,2397.4,0.9,1311.9,2397.4,1309.2,2396.4,3494.9
14,7001,rr,1.4,23.0,25.2,3089.7,1358.6,1351.4,13494.5,1798.7,1783.6
15,7001,fcfs,0.9,1350.9,2298.3,0.9,1350.9,2298.3,1348.3,2297.4,3634.6
16,8001,rr,1.1,18.4,21.0,3009.7,1563.5,1488.9,14763.1,2107.5,2132.3
17,8001,fcfs,0.9,887.6,2077.3,0.9,887.6,2077.3,884.7,2076.3,3267.2
18,9001,rr,1.1,5.9,8.4,4697.9,3167.2,3085.8,15050.5,4058.7,3978.6
19,9001,fcfs,0.8,1655.0,2629.5,0.8,1655.0,2629.5,1652.3,2628.6,3964.1
20,10001,rr,0.9,4.3,6.6,7414.1,1254.8,1179.4,27584.1,1583.2,1587.3
21,10001,fcfs,0.7,1441.8,2358.7,0.7,1441.8,2358.7,1439.0,2357.9,3959.5
22,11001,rr,1.0,4.9,7.0,3433.9,1083.7,1071.6,13500.9,1526.1,1528.1
23,11001,fcfs,0.8,1902.6,3378.9,0.8,1902.6,3378.9,1899.8,3377.9,5076.3
24,12001,rr,1.4,5.6,7.9,12205.5,2540.2,2484.8,38152.6,3287.8,3280.7
25,12001,fcfs,0.7,1870.9,3123.4,0.7,1870.9,3123.4,1868.2,3122.5,4870.5
26,13001,rr,0.8,4.0,6.2,4012.2,793.0,865.6,16090.6,1059.8,1180.2
27,13001,fcfs,0.9,1704.4,3006.5,0.9,1704.4,3006.5,1701.6,3005.4,4439.8
28,14001,rr,1.0,5.0,7.3,4428.6,1731.2,1668.6,15709.6,2234.4,2134.4
29,14001,fcfs,0.8,1981.0,3106.4,0.8,1981.0,3106.4,1978.1,3105.3,4344.3
30,15001,rr,1.0,4.5,6.8,1555.0,802.8,820.2,7996.3,1073.0,1033.3
31,15001,fcfs,0.8,1410.3,2567.7,0.8,1410.3,2567.7,1407.6,2566.8,3857.3
32,16001,rr,0.9,5.1,7.3,6074.0,973.3,847.1,21524.8,1230.1,1163.5
33,16001,fcfs,1.1,2315.5,6780.1,1.1,2315.5,6780.1,2310.9,6777.8,8143.6
34,17001,rr,1.2,5.4,7.9,5503.0,1074.0,1064.5,22538.0,1389.7,1432.9
35,17001,fcfs,1.1,2536.0,3920.4,1.1,2536.0,3920.4,2532.9,3919.5,5759.5
36,18001,rr,0.9,5.2,7.5,4879.9,786.7,736.9,22035.3,1091.1,1082.1
37,18001,fcfs,0.8,2186.0,3270.4,0.8,2186.0,3270.4,2183.3,3269.5,4868.5
38,19001,rr,1.2,6.1,8.3,11554.0,7259.4,7299.9,30439.6,9426.4,9479.0
39,19001,fcfs,0.9,2393.5,3555.5,0.9,2393.5,3555.5,2390.8,3554.7,5510.5
40,20001,rr,1.3,5.8,7.9,4812.2,1435.7,1298.6,18483.8,1864.4,1663.9
41,20001,fcfs,0.8,3003.1,4276.8,0.8,3003.1,4276.8,3000.5,4276.0,5820.8
42,21001,rr,1.2,6.9,9.1,5540.2,1023.1,1081.0,21891.6,1306.3,1415.0
